,gdp_real_level,gdp_real_growth_rate,unemployment_rate,employment_level,labor_force_level,emp_total_nonfarm,emp_total_private,emp_construction,emp_manufacturing,emp_trade_transport_util,emp_retail,emp_prof_business,emp_edu_health,emp_leisure_hospitality,emp_government,v,gdp_real_level_monthly_linear,gdp_real_growth_rate_monthly_linear,gdp_log_growth_linear,u
1955-07-01,3111.379,5.5,,,,,,,,,,,,,,,3111.379,5.5,0.004403585007214161,
1955-08-01,3117.6763804347825,4.4554347826086955,,,,,,,,,,,,,,,3117.6763804347825,4.4554347826086955,0.002021938221963282,
1955-09-01,3123.9737608695655,3.410869565217391,,,,,,,,,,,,,,,3123.9737608695655,3.410869565217391,0.0020178582358827413,
1955-10-01,3130.068,2.4,,,,,,,,,,,,,,,3130.068,2.4,0.0019488968230092496,
1955-11-01,3125.9753260869566,1.085869565217391,,,,,,,,,,,,,,,3125.9753260869566,1.085869565217391,-0.001308390713928631,
1955-12-01,3122.0146739130437,-0.18586956521739156,,,,,,,,,,,,,,,3122.0146739130437,-0.18586956521739156,-0.00126781659523445,
1956-01-01,3117.922,-1.5,,,,,,,,,,,,,,,3117.922,-1.5,-0.001311767959768062,
1956-02-01,3126.7014725274726,0.13516483516483513,,,,,,,,,,,,,,,3126.7014725274726,0.13516483516483513,0.0028118519397306585,
1956-03-01,3134.9145274725274,1.6648351648351647,,,,,,,,,,,,,,,3134.9145274725274,1.6648351648351647,0.0026233035226201906,
1956-04-01,3143.694,3.3,,,,,,,,,,,,,,,3143.694,3.3,0.0027966318368761733,
1956-05-01,3142.7643296703295,2.1131868131868132,,,,,,,,,,,,,,,3142.7643296703295,2.1131868131868132,-0.0002957691875753454,
1956-06-01,3141.8036703296702,0.8868131868131868,,,,,,,,,,,,,,,3141.8036703296702,0.8868131868131868,-0.00030572009027274305,
1956-07-01,3140.874,-0.3,,,,,,,,,,,,,,,3140.874,-0.3,-0.0002959471694197191,
1956-08-01,3158.293304347826,2.0923913043478257,,,,,,,,,,,,,,,3158.293304347826,2.0923913043478257,0.005530682996225167,
1956-09-01,3175.7126086956523,4.484782608695652,,,,,,,,,,,,,,,3175.7126086956523,4.484782608695652,0.00550026270966697,
1956-10-01,3192.57,6.8,,,,,,,,,,,,,,,3192.57,6.8,0.005294184229544641,
1956-11-01,3199.4577282608698,5.3847826086956525,,,,,,,,,,,,,,,3199.4577282608698,5.3847826086956525,0.0021551004530948603,
1956-12-01,3206.1232717391304,4.015217391304348,,,,,,,,,,,,,,,3206.1232717391304,4.015217391304348,0.002081168245037901,
1957-01-01,3213.011,2.6,,,,,,,,,,,,,,,3213.011,2.6,0.0021459999472330793,
1957-02-01,3210.5857666666666,1.3944444444444446,,,,,,,,,,,,,,,3210.5857666666666,1.3944444444444446,-0.0007551013977558085,
1957-03-01,3208.395233333333,0.30555555555555575,,,,,,,,,,,,,,,3208.395233333333,0.30555555555555575,-0.000682517495649293,
1957-04-01,3205.97,-0.9,,,,,,,,,,,,,,,3205.97,-0.9,-0.0007561881373074897,
1957-05-01,3216.326923076923,0.7153846153846154,,,,,,,,,,,,,,,3216.326923076923,0.7153846153846154,0.0032253046469854496,
1957-06-01,3227.029076923077,2.3846153846153846,,,,,,,,,,,,,,,3227.029076923077,2.3846153846153846,0.0033219222057017106,
1957-07-01,3237.386,4.0,,,,,,,,,,,,,,,3237.386,4.0,0.003204290508980634,
1957-08-01,3226.1006521739127,1.2706521739130436,,,,,,,,,,,,,,,3226.1006521739127,1.2706521739130436,-0.0034920345322824176,
1957-09-01,3214.815304347826,-1.4586956521739125,,,,,,,,,,,,,,,3214.815304347826,-1.4586956521739125,-0.0035042715821358428,
1957-10-01,3203.894,-4.1,,,,,,,,,,,,,,,3203.894,-4.1,-0.0034029629226637326,
1957-11-01,3175.8693260869563,-6.088043478260869,,,,,,,,,,,,,,,3175.8693260869563,-6.088043478260869,-0.008785546654118903,
1957-12-01,3148.7486739130436,-8.01195652173913,,,,,,,,,,,,,,,3148.7486739130436,-8.01195652173913,-0.008576270821787801,
1958-01-01,3120.724,-10.0,,,,,,,,,,,,,,,3120.724,-10.0,-0.008940101353777763,
1958-02-01,3127.7851111111113,-5.625555555555556,,,,,,,,,,,,,,,3127.7851111111113,-5.625555555555556,0.0022600956456155785,
1958-03-01,3134.162888888889,-1.674444444444445,,,,,,,,,,,,,,,3134.162888888889,-1.674444444444445,0.0020369955110073334,
1958-04-01,3141.224,2.7,,,,,,,,,,,,,,,3141.224,2.7,0.0022504155412708116,
1958-05-01,3165.177846153846,4.974725274725275,,,,,,,,,,,,,,,3165.177846153846,4.974725274725275,0.007596712653656468,
1958-06-01,3189.930153846154,7.325274725274725,,,,,,,,,,,,,,,3189.930153846154,7.325274725274725,0.00778977567575545,
1958-07-01,3213.884,9.6,,,,,,,,,,,,,,,3213.884,9.6,0.007481153355895387,
1958-08-01,3239.2056086956522,9.633695652173913,,,,,,,,,,,,,,,3239.2056086956522,9.633695652173913,0.007847942673842923,
1958-09-01,3264.5272173913045,9.667391304347825,,,,,,,,,,,,,,,3264.5272173913045,9.667391304347825,0.007786831753421097,
1958-10-01,3289.032,9.7,,,,,,,,,,,,,,,3289.032,9.7,0.007478347566449273,
1958-11-01,3310.292945652174,9.093478260869565,,,,,,,,,,,,,,,3310.292945652174,9.093478260869565,0.006443392130348613,
1958-12-01,3330.8680543478263,8.506521739130434,,,,,,,,,,,,,,,3330.8680543478263,8.506521739130434,0.006196258312369807,
1959-01-01,3352.129,7.9,,,,,,,,,,,,,,,3352.129,7.9,0.0063627193628601475,
